t,0,1,2,3,4,5,6,7,8,9
359.97632,-0.42013296,-0.45825687,-0.46109003,-0.37747052,-0.4305854,-0.4305304,-0.44051522,-0.47418308,-0.42662448,-0.42043555
360.2013,-0.39821035,-0.45162782,-0.45215043,-0.3631947,-0.42293862,-0.42175585,-0.43512395,-0.46700388,-0.39295664,-0.40973553
360.4263,-0.39221397,-0.44659415,-0.45005995,-0.3757376,-0.41493425,-0.41053322,-0.4254142,-0.4593296,-0.43944246,-0.4027214
360.65128,-0.44274324,-0.4331985,-0.4386448,-0.4250566,-0.398843,-0.39683503,-0.40497693,-0.45080262,-0.4979211,-0.4000808
360.87625,-0.48884398,-0.4241214,-0.42860493,-0.45897204,-0.4103682,-0.43154812,-0.40423426,-0.44315583,-0.519101,-0.43553656
361.10123,-0.48403037,-0.42764223,-0.42764223,-0.45300314,-0.4536633,-0.47707126,-0.44788694,-0.43457383,-0.50317484,-0.4640057
361.32623,-0.4553687,-0.446099,-0.4507201,-0.42379132,-0.4636206,-0.46634373,-0.46898437,-0.4356191,-0.478199,-0.45190287
361.5512,-0.4407628,-0.44183552,-0.4515178,-0.39931062,-0.43369362,-0.42945763,-0.4391674,-0.44103783,-0.4622728,-0.42271858
361.77618,-0.43416125,-0.4224435,-0.4314106,-0.3795335,-0.41281626,-0.41608953,-0.4164471,-0.43902987,-0.45737666,-0.40907538
362.0012,-0.39587232,-0.39799032,-0.4069849,-0.35010165,-0.4001083,-0.40024582,-0.40291396,-0.41485173,-0.4348489,-0.39020598
362.22617,-0.37405974,-0.38737282,-0.39510214,-0.340942,-0.38016614,-0.37235433,-0.38619006,-0.39911807,-0.42962268,-0.36803582
362.45114,-0.38619006,-0.37199673,-0.37887335,-0.3512844,-0.36404738,-0.35642812,-0.35992143,-0.3855574,-0.4220309,-0.35926127
362.67615,-0.40764505,-0.37898338,-0.386025,-0.36267206,-0.38533735,-0.38624507,-0.3778556,-0.38861063,-0.41317385,-0.3787083
362.90112,-0.3727394,-0.37378466,-0.38090882,-0.32930678,-0.37601268,-0.3747749,-0.37758055,-0.37430727,-0.3652852,-0.35994893
363.1261,-0.3383564,-0.3714466,-0.3816515,-0.30034253,-0.35796848,-0.3551078,-0.3676232,-0.37815818,-0.31588367,-0.33802631
363.3511,-0.2864518,-0.34726846,-0.35752836,-0.25300398,-0.32658365,-0.32394305,-0.34022683,-0.36256203,-0.26488677,-0.30529368
363.57608,-0.2709382,-0.33081964,-0.34187722,-0.24711762,-0.3079343,-0.3014153,-0.321605,-0.35062426,-0.2646117,-0.28678188
363.80106,-0.27236852,-0.29701427,-0.3091721,-0.25891787,-0.27847493,-0.27165335,-0.28196824,-0.32361296,-0.2808955,-0.26953536
364.02606,-0.34550807,-0.29272327,-0.3032582,-0.31800166,-0.29657415,-0.30567878,-0.29866463,-0.3113176,-0.3584911,-0.2972618
364.25104,-0.38016614,-0.3069991,-0.31684637,-0.33346027,-0.32443815,-0.34361014,-0.32930678,-0.30988726,-0.38321936,-0.31500345
364.476,-0.34283996,-0.3142883,-0.32776642,-0.2865068,-0.33335024,-0.3558505,-0.35571295,-0.31640628,-0.358161,-0.3061739
364.70102,-0.28636926,-0.3159937,-0.34083197,-0.2307238,-0.31844175,-0.3246032,-0.33816385,-0.33357027,-0.3079068,-0.27371633
364.926,-0.2817207,-0.2950888,-0.32952684,-0.21925363,-0.289505,-0.29044023,-0.28705692,-0.3461132,-0.2898351,-0.24609989
365.15097,-0.2881297,-0.27129576,-0.30776927,-0.21218447,-0.28697443,-0.27476156,-0.2568824,-0.3280415,-0.28680938,-0.2504459
365.37595,-0.263814,-0.2633189,-0.29110038,-0.20379502,-0.27591684,-0.25575465,-0.26378652,-0.2900001,-0.27352378,-0.22912844
365.60095,-0.22569013,-0.24890554,-0.26953536,-0.17037472,-0.21922612,-0.218731,-0.24832791,-0.2569099,-0.22805567,-0.19348012
365.82593,-0.1608025,-0.18847395,-0.20660068,-0.10991563,-0.16030738,-0.16877936,-0.18242253,-0.22541507,-0.16223283,-0.14644414
366.0509,-0.19017935,-0.16949452,-0.18148732,-0.13945752,-0.17378552,-0.18467806,-0.18995929,-0.20393255,-0.18401791,-0.15843694
366.2759,-0.15777679,-0.19144464,-0.20992894,-0.09797785,-0.19408526,-0.2015945,-0.21410993,-0.20588551,-0.14743438,-0.16113257
366.5009,-0.10485445,-0.19606572,-0.22547008,-0.05171206,-0.16311303,-0.1479845,-0.18709862,-0.22954102,-0.14484878,-0.11657218
366.72586,-0.16828424,-0.15508117,-0.18577832,-0.097207665,-0.11888272,-0.11404159,-0.115306884,-0.21686056,-0.20849861,-0.103974245
366.95087,-0.1847881,-0.1337912,-0.14792949,-0.113546476,-0.13901742,-0.16943951,-0.14655417,-0.16234286,-0.2547094,-0.1299403
367.17584,-0.22357213,-0.1642683,-0.17659117,-0.14605905,-0.17219014,-0.18709862,-0.18291765,-0.15706162,-0.3121703,-0.15161535
367.40082,-0.28488392,-0.18555827,-0.21108422,-0.19463539,-0.19469039,-0.21807085,-0.19694592,-0.20954387,-0.36558774,-0.17851663
367.62582,-0.2903577,-0.18896906,-0.21457754,-0.17901175,-0.21430247,-0.24846543,-0.22844076,-0.22145414,-0.3425924,-0.1942503
367.8508,-0.24764025,-0.20651816,-0.24046107,-0.13186575,-0.23284179,-0.2533891,-0.26175103,-0.23815054,-0.25228882,-0.18946418
368.07578,-0.18803385,-0.21254206,-0.25580966,-0.11398658,-0.1968359,-0.1963958,-0.2324017,-0.26015568,-0.22885336,-0.1424282
368.30078,-0.21149682,-0.18693359,-0.22871584,-0.15167037,-0.16630378,-0.18803385,-0.18935415,-0.26186106,-0.23938832,-0.14512384
368.52576,-0.24909809,-0.18858397,-0.22181173,-0.18885905,-0.21512766,-0.23696776,-0.23061377,-0.23336442,-0.26056826,-0.18885905
368.75073,-0.25712997,-0.22651532,-0.26708728,-0.20164952,-0.24494462,-0.26147598,-0.26917776,-0.26730734,-0.2687927,-0.2028323
368.97574,-0.2731387,-0.25242636,-0.2989397,-0.22745053,-0.2646667,-0.27712712,-0.28881735,-0.3151685,-0.30331323,-0.21988627
369.2007,-0.28991762,-0.2431567,-0.29011014,-0.24392688,-0.2599081,-0.2731387,-0.27641195,-0.30933714,-0.32408056,-0.22189423
369.4257,-0.31027234,-0.2504734,-0.29646412,-0.25569963,-0.28246337,-0.30042505,-0.2894775,-0.31079498,-0.3366235,-0.24772276
369.65067,-0.2984446,-0.2671973,-0.3135456,-0.23694025,-0.30003998,-0.31071246,-0.31156516,-0.31604868,-0.31706643,-0.25151864
369.87567,-0.26604202,-0.270113,-0.31921193,-0.21201944,-0.28326106,-0.28573662,-0.30089265,-0.32369548,-0.30551374,-0.22945851
370.10065,-0.28100553,-0.25790015,-0.30757672,-0.22742303,-0.2706631,-0.27690706,-0.2843338,-0.31890938,-0.31536102,-0.22508499
370.32562,-0.29869214,-0.26964536,-0.31640628,-0.24285413,-0.2946487,-0.308677,-0.3147559,-0.32490575,-0.34028184,-0.24667752
370.55063,-0.32256773,-0.28978008,-0.3396492,-0.25446182,-0.3054037,-0.31208777,-0.32619858,-0.34300497,-0.3482037,-0.250886
370.7756,-0.32270524,-0.29308084,-0.34377515,-0.25107855,-0.3091446,-0.3242731,-0.32746387,-0.36060908,-0.3405294,-0.25666234
371.00058,-0.3140132,-0.28675437,-0.33868647,-0.24538472,-0.30642146,-0.31503096,-0.32501578,-0.3452605,-0.32870165,-0.24953818
371.2256,-0.3320299,-0.2997374,-0.35538286,-0.26832506,-0.3135456,-0.32487825,-0.33164483,-0.36613786,-0.35576797,-0.25883535
371.45056,-0.33802631,-0.29277828,-0.3477911,-0.27811736,-0.31239036,-0.3272438,-0.33098468,-0.36390987,-0.37246436,-0.2607333
371.67554,-0.34812117,-0.28444383,-0.3401443,-0.29217312,-0.31467336,-0.330187,-0.3319199,-0.3485613,-0.38352194,-0.26562944
371.90054,-0.37378466,-0.29096285,-0.34746101,-0.31720397,-0.3298569,-0.3482587,-0.3442703,-0.35065177,-0.40629724,-0.28345358
372.12552,-0.3915538,-0.29959986,-0.35499778,-0.33934662,-0.34462786,-0.36352476,-0.36135176,-0.35574046,-0.43377614,-0.29770193
372.3505,-0.4240939,-0.312968,-0.3695762,-0.36429495,-0.36459753,-0.38396204,-0.38016614,-0.3708965,-0.45143527,-0.31904688
372.5755,-0.43512395,-0.33343276,-0.39224148,-0.35227466,-0.39435947,-0.41548437,-0.40907538,-0.3919939,-0.42313117,-0.33893403
372.80048,-0.39716512,-0.35642812,-0.420298,-0.3142883,-0.40478438,-0.4176024,-0.4344363,-0.41793245,-0.38971087,-0.3277114
373.02545,-0.36217695,-0.34746101,-0.41823503,-0.2857091,-0.3735371,-0.38176152,-0.40932295,-0.42978773,-0.38533735,-0.29899472
373.25043,-0.36503762,-0.3079343,-0.3748849,-0.29181555,-0.34322503,-0.34985408,-0.3679808,-0.39444196,-0.3933142,-0.2822158
373.47543,-0.37460986,-0.3178091,-0.38222912,-0.30416593,-0.36423993,-0.3760402,-0.37422475,-0.39039853,-0.39848542,-0.30683404
373.7004,-0.3760952,-0.32688624,-0.38489726,-0.3023505,-0.36446,-0.36239702,-0.3751875,-0.3890232,-0.42516664,-0.29638162
373.92538,-0.39999828,-0.3465533,-0.40637976,-0.32309034,-0.36891603,-0.38522732,-0.38280678,-0.40943298,-0.44233063,-0.31120756
374.1504,-0.38789544,-0.35285228,-0.41149595,-0.31470087,-0.3854749,-0.40016332,-0.40800264,-0.41523683,-0.44530132,-0.31637877
374.37537,-0.40728748,-0.3687785,-0.42995277,-0.34388518,-0.38209158,-0.39600983,-0.4104507,-0.43537152,-0.5041926,-0.31459087
374.60034,-0.4502525,-0.35307232,-0.4134764,-0.386025,-0.37964353,-0.40725997,-0.39812782,-0.4323458,-0.55043083,-0.32908675
374.82535,-0.43212578,-0.34358263,-0.39933813,-0.3465808,-0.3949646,-0.42227846,-0.41589698,-0.40500444,-0.48647845,-0.3353582
375.05032,-0.35574046,-0.37238184,-0.4356741,-0.27044305,-0.38740033,-0.38737282,-0.42216843,-0.4305579,-0.3971101,-0.2946212
375.2753,-0.36352476,-0.35923377,-0.42954016,-0.29852712,-0.32597852,-0.33439547,-0.353705,-0.46246535,-0.44629157,-0.25724
375.5003,-0.37408724,-0.2997649,-0.35315484,-0.31272042,-0.30983225,-0.34303248,-0.32903174,-0.39306664,-0.47110236,-0.2680225
375.72528,-0.355878,-0.28975257,-0.34358263,-0.2908253,-0.30496362,-0.31915691,-0.3276839,-0.34209728,-0.43787462,-0.25399423
375.95026,-0.3375312,-0.28961504,-0.35260472,-0.28183073,-0.28887236,-0.3105199,-0.30515617,-0.37108904,-0.4207656,-0.23947084
376.17526,-0.31021735,-0.23919578,-0.28639677,-0.27206594,-0.24466956,-0.28075796,-0.2774297,-0.31659883,-0.3898209,-0.21919861
376.40024,-0.33901656,-0.21259707,-0.26238367,-0.29503378,-0.25611222,-0.29349345,-0.2711307,-0.2590554,-0.39804533,-0.2371603
376.6252,-0.3700988,-0.2169981,-0.26455668,-0.30897954,-0.27539423,-0.31175768,-0.28155565,-0.2568549,-0.40552706,-0.25410426
376.85022,-0.35084432,-0.20695826,-0.2478878,-0.2754217,-0.2730837,-0.30939215,-0.28100553,-0.23385954,-0.35876617,-0.2517662
377.0752,-0.32834408,-0.24841042,-0.2903302,-0.25894538,-0.3061739,-0.33522066,-0.32919675,-0.26983792,-0.33359778,-0.26620707
377.30017,-0.27027804,-0.2533891,-0.2989122,-0.25231633,-0.26320887,-0.2688202,-0.29057777,-0.30312067,-0.36434996,-0.21724565
377.52515,-0.37554508,-0.22632277,-0.26235616,-0.3439402,-0.2533891,-0.27635694,-0.23771043,-0.29088032,-0.4005759,-0.24893305
377.75015,-0.3873453,-0.24103871,-0.27319372,-0.32196257,-0.34963402,-0.3842096,-0.32652864,-0.2478603,-0.37133658,-0.32441065
377.97513,-0.34198725,-0.32358545,-0.36869597,-0.30152532,-0.37967104,-0.38657513,-0.40371165,-0.30581632,-0.36228698,-0.306669
378.2001,-0.33172736,-0.330242,-0.37725046,-0.29786697,-0.3310947,-0.32795897,-0.3524947,-0.3765628,-0.35329238,-0.27602687
378.4251,-0.31937698,-0.2826009,-0.3228978,-0.27421144,-0.29530886,-0.30691656,-0.30518365,-0.33329523,-0.3112901,-0.26216364
378.6501,-0.29041272,-0.27459654,-0.30980474,-0.25671735,-0.2993798,-0.31203276,-0.31252787,-0.30941966,-0.31071246,-0.25979808
378.87506,-0.28933996,-0.2912104,-0.325951,-0.25314152,-0.29781196,-0.30122274,-0.31954202,-0.32347542,-0.32066977,-0.25297648
379.10007,-0.25726748,-0.27044305,-0.30444098,-0.21457754,-0.26656467,-0.27047056,-0.28499395,-0.31456336,-0.2757518,-0.23306185
379.32504,-0.21812586,-0.24857546,-0.2779248,-0.1676791,-0.24780528,-0.2453022,-0.25795516,-0.2962716,-0.19270994,-0.2152927
379.55002,-0.19138964,-0.23396955,-0.25545207,-0.14121793,-0.22750555,-0.2199688,-0.23451969,-0.26832506,-0.22648782,-0.19034438
379.77502,-0.23581249,-0.20063178,-0.21625543,-0.21108422,-0.17296033,-0.17439066,-0.18841894,-0.22478242,-0.33376282,-0.15596136
380.0,-0.32897672,-0.1784066,-0.19441533,-0.2611459,-0.17543592,-0.21719064,-0.19601071,-0.20506032,-0.35117438,-0.21168937
380.22498,-0.3057613,-0.1959557,-0.20250222,-0.23848061,-0.24409191,-0.2839212,-0.24676004,-0.21171688,-0.34594816,-0.25501198
380.44998,-0.29316336,-0.23705028,-0.24158883,-0.2247274,-0.25757006,-0.2697829,-0.27547672,-0.23003614,-0.33469805,-0.24466956
380.67496,-0.29371348,-0.24896055,-0.25845027,-0.20605054,-0.2503909,-0.25536954,-0.25611222,-0.25572714,-0.3109875,-0.23633511
380.89993,-0.25861531,-0.23897572,-0.24211146,-0.18038706,-0.2238747,-0.23707779,-0.22926596,-0.25061095,-0.29038522,-0.21199194
381.12494,-0.26835257,-0.23204412,-0.22467239,-0.19961405,-0.2097364,-0.21606289,-0.23597753,-0.23432714,-0.29734433,-0.20561044
381.3499,-0.27344126,-0.20274977,-0.19573565,-0.20412509,-0.19116957,-0.20484026,-0.20486777,-0.1916647,-0.2735788,-0.20467523
381.5749,-0.25058344,-0.1891341,-0.1780215,-0.1839629,-0.21598037,-0.23578498,-0.2182909,-0.17565596,-0.23600504,-0.2242873
381.79987,-0.19925646,-0.20495029,-0.1916647,-0.14127295,-0.21705312,-0.2148526,-0.22954102,-0.16437833,-0.19111456,-0.2036575
382.02487,-0.16861431,-0.22335207,-0.22189423,-0.105844684,-0.20087934,-0.18841894,-0.21020402,-0.21416494,-0.1483696,-0.18687858
382.24985,-0.13604672,-0.20792098,-0.20495029,-0.06854598,-0.17345545,-0.15612641,-0.17620608,-0.22668035,-0.12972026,-0.15766676
382.47482,-0.13571665,-0.18297267,-0.17466573,-0.07058146,-0.13258092,-0.12531923,-0.13560662,-0.20178705,-0.15112025,-0.13043542
382.69983,-0.16437833,-0.16459838,-0.14732435,-0.100233376,-0.124384,-0.13808219,-0.13588169,-0.16091253,-0.18418294,-0.14099787
382.9248,-0.17807652,-0.16536856,-0.14319839,-0.11547193,-0.1385223,-0.15816188,-0.15777679,-0.13472642,-0.20489527,-0.158657
383.14978,-0.19947651,-0.19155467,-0.17389555,-0.14055778,-0.16756907,-0.18390788,-0.18412794,-0.17191508,-0.23589501,-0.18335776
383.3748,-0.20957136,-0.19573565,-0.17813154,-0.15172538,-0.17356548,-0.18643847,-0.18159735,-0.1874287,-0.2526189,-0.19078448
383.59976,-0.23058628,-0.20684823,-0.19133462,-0.16943951,-0.18946418,-0.2007143,-0.19111456,-0.19955903,-0.27566928,-0.20577548
383.82474,-0.2619711,-0.22830324,-0.21664052,-0.19491045,-0.21587034,-0.2281657,-0.21787831,-0.21738319,-0.30804434,-0.22896339
384.04974,-0.2821608,-0.24365182,-0.23506981,-0.21086417,-0.23603255,-0.25066596,-0.24010348,-0.23102637,-0.3280415,-0.24684256
384.27472,-0.2856266,-0.26139346,-0.25459936,-0.21281712,-0.25399423,-0.26606953,-0.25834024,-0.25110605,-0.32619858,-0.25897288
384.4997,-0.2684351,-0.2625487,-0.2573225,-0.19843127,-0.25151864,-0.25787264,-0.25542456,-0.25624976,-0.30776927,-0.25030836
384.7247,-0.25726748,-0.2593855,-0.25498447,-0.19419529,-0.24266158,-0.24552225,-0.24656749,-0.25671735,-0.30589882,-0.24037856
384.94968,-0.25569963,-0.248768,-0.24494462,-0.19573565,-0.23185156,-0.2346022,-0.23300683,-0.24978575,-0.3092271,-0.23363948
385.17465,-0.26953536,-0.2512711,-0.24942817,-0.20811352,-0.24208395,-0.24714513,-0.23996596,-0.25283897,-0.31934947,-0.2448621
385.39966,-0.26733485,-0.25495696,-0.2555896,-0.20247471,-0.2482729,-0.25319654,-0.2478878,-0.25699243,-0.31024483,-0.24604487
385.62463,-0.2804279,-0.26452917,-0.26791248,-0.21897857,-0.261641,-0.26805001,-0.2646942,-0.26670218,-0.3276839,-0.25633228
385.8496,-0.2941536,-0.27498162,-0.28130808,-0.23498729,-0.27390888,-0.28152815,-0.28048292,-0.28073046,-0.34322503,-0.26730734
386.0746,-0.2972893,-0.27613688,-0.28449884,-0.2366927,-0.27800733,-0.28788212,-0.2868644,-0.2846639,-0.34897387,-0.27115822
386.2996,-0.30248803,-0.28639677,-0.29638162,-0.24197392,-0.29319087,-0.3036158,-0.30444098,-0.29426363,-0.3503492,-0.2813906
386.52457,-0.28345358,-0.29096285,-0.3035883,-0.22670786,-0.29563895,-0.30075514,-0.31043738,-0.29910475,-0.33376282,-0.2731387
386.74954,-0.28592917,-0.3018554,-0.32108238,-0.23828806,-0.29860964,-0.2972618,-0.31676388,-0.32278776,-0.34710345,-0.2689852
386.97455,-0.30367082,-0.30743918,-0.33304766,-0.26829755,-0.30169034,-0.302433,-0.31640628,-0.35026667,-0.37582013,-0.27517417
